iter	Passed	Remaining
0	0	948
1	1	791
2	2	732
3	2	713
4	3	709
5	4	691
6	4	675
7	5	663
8	5	657
9	6	641
10	7	634
11	7	630
12	8	628
13	8	630
14	9	632
15	10	638
16	10	635
17	11	631
18	12	628
19	12	626
20	13	623
21	13	622
22	14	619
23	15	620
24	15	619
25	16	617
26	17	616
27	17	615
28	18	612
29	18	611
30	19	610
31	20	610
32	20	608
33	21	608
34	22	609
35	22	609
36	23	608
37	23	606
38	24	604
39	25	602
40	25	601
41	26	599
42	26	598
43	27	598
44	28	598
45	28	598
46	29	598
47	30	598
48	30	597
49	31	597
50	32	596
51	32	595
52	33	594
53	34	596
54	34	595
55	35	594
56	35	593
57	36	592
58	37	592
59	37	592
60	38	590
61	38	589
62	39	588
63	40	589
64	41	589
65	41	589
66	42	588
67	42	588
68	43	587
69	44	587
70	44	586
71	45	586
72	46	586
73	46	585
74	47	585
75	48	585
76	48	584
77	49	584
78	50	583
79	50	582
80	51	582
81	51	581
82	52	581
83	53	582
84	54	582
85	54	581
86	55	581
87	56	580
88	56	580
89	57	579
90	57	578
91	58	579
92	59	578
93	59	577
94	60	576
95	61	576
96	61	575
97	62	574
98	63	574
99	63	572
100	64	572
101	64	571
102	65	571
103	66	570
104	66	569
105	67	567
106	67	566
107	68	565
108	69	564
109	69	564
110	70	563
111	71	563
112	71	563
113	72	562
114	72	561
115	73	560
116	74	559
117	74	557
118	75	556
119	75	555
120	76	552
121	76	551
122	77	550
123	77	550
124	78	549
125	79	548
126	79	547
127	80	546
128	80	545
129	81	544
130	81	543
131	82	541
132	82	540
133	83	540
134	84	539
135	84	539
136	85	539
137	86	538
138	86	537
139	87	536
140	87	535
141	88	534
142	89	533
143	89	533
144	90	532
145	90	531
146	91	530
147	92	529
148	92	528
149	93	527
150	93	526
151	94	525
152	94	524
153	95	524
154	96	524
155	96	523
156	97	522
157	97	521
158	98	520
159	99	519
160	99	518
161	100	518
162	100	517
163	101	516
164	102	516
165	102	515
166	103	514
167	103	513
168	104	513
169	104	512
170	105	511
171	106	510
172	106	509
173	107	508
174	107	508
175	108	507
176	109	507
177	109	506
178	110	505
179	110	504
180	111	503
181	111	502
182	112	501
183	112	501
184	113	500
185	114	499
186	114	499
187	115	499
188	116	498
189	116	497
190	117	496
191	117	494
192	118	493
193	118	492
194	119	492
195	119	491
196	120	491
197	121	491
198	121	490
199	122	489
200	123	489
201	123	488
202	124	487
203	124	486
204	125	485
205	126	487
206	127	487
207	127	486
208	128	485
209	128	485
210	129	484
211	130	483
212	130	482
213	131	481
214	131	480
215	132	480
216	132	479
217	133	479
218	134	478
219	134	477
220	135	477
221	135	476
222	136	475
223	137	474
224	137	473
225	138	473
226	138	473
227	139	472
228	140	472
229	140	471
230	141	471
231	142	471
232	143	471
233	143	470
234	144	470
235	145	470
236	145	469
237	146	469
238	147	469
239	147	468
240	148	467
241	149	467
242	149	466
243	150	465
244	150	465
245	151	464
246	152	463
247	152	463
248	153	462
249	154	462
250	154	461
251	155	461
252	155	460
253	156	459
254	157	459
255	157	458
256	158	458
257	159	457
258	159	456
259	160	456
260	160	455
261	161	454
262	161	453
263	162	453
264	163	452
265	163	451
266	164	451
267	165	450
268	165	450
269	166	449
270	166	448
271	167	448
272	168	447
273	168	447
274	169	446
275	170	446
276	170	446
277	171	445
278	172	445
279	172	444
280	173	443
281	173	442
282	174	442
283	175	441
284	175	440
285	176	439
286	176	439
287	177	438
288	178	437
289	178	437
290	179	436
291	179	435
292	180	434
293	180	434
294	181	433
295	182	433
296	182	432
297	183	431
298	183	431
299	184	430
300	185	429
301	185	429
302	186	428
303	186	427
304	187	426
305	187	426
306	188	426
307	189	425
308	190	424
309	190	424
310	191	423
311	191	423
312	192	422
313	193	421
314	193	420
315	194	420
316	194	419
317	195	419
318	196	418
319	196	418
320	197	417
321	197	416
322	198	416
323	199	415
324	199	415
325	200	414
326	201	414
327	201	413
328	202	413
329	203	412
330	203	411
331	204	411
332	204	410
333	205	409
334	206	409
335	206	408
336	207	408
337	208	407
338	208	406
339	209	406
340	209	405
341	210	404
342	210	404
343	211	403
344	212	402
345	212	402
346	213	401
347	214	401
348	214	400
349	215	399
350	215	399
351	216	398
352	216	397
353	217	396
354	218	396
355	218	395
356	219	394
357	219	394
358	220	393
359	221	392
360	221	392
361	222	391
362	222	390
363	223	390
364	223	389
365	224	388
366	225	388
367	225	388
368	226	387
369	227	386
370	227	386
371	228	385
372	229	385
373	229	384
374	230	383
375	231	383
376	231	382
377	232	382
378	233	382
379	233	381
380	234	380
381	235	380
382	235	379
383	236	379
384	237	378
385	237	378
386	238	378
387	239	377
388	239	376
389	240	376
390	241	375
391	241	375
392	242	374
393	243	374
394	244	373
395	244	373
396	245	372
397	246	372
398	246	371
399	247	371
400	248	370
401	248	370
402	249	369
403	250	369
404	251	368
405	251	368
406	252	367
407	253	367
408	253	366
409	254	366
410	255	365
411	255	365
412	256	365
413	257	364
414	258	363
415	258	363
416	259	363
417	260	362
418	260	361
419	261	361
420	262	360
421	262	359
422	263	359
423	264	358
424	264	358
425	265	357
426	266	357
427	266	356
428	267	355
429	268	355
430	268	354
431	269	354
432	270	353
433	270	353
434	271	352
435	272	352
436	272	351
437	273	350
438	274	350
439	274	349
440	275	349
441	276	348
442	276	347
443	277	347
444	278	346
445	278	346
446	279	345
447	280	345
448	280	344
449	281	344
450	282	343
451	283	343
452	284	342
453	284	342
454	285	341
455	286	341
456	287	341
457	288	341
458	288	340
459	289	340
460	290	339
461	291	339
462	291	338
463	292	337
464	293	337
465	293	336
466	294	336
467	295	335
468	295	335
469	296	334
470	297	333
471	297	333
472	298	332
473	299	331
474	299	331
475	300	330
476	301	330
477	301	329
478	302	328
479	302	328
480	303	327
481	304	326
482	304	326
483	305	325
484	306	325
485	306	324
486	307	323
487	308	323
488	308	322
489	309	322
490	310	321
491	310	320
492	311	320
493	312	319
494	312	319
495	313	318
496	314	318
497	315	317
498	315	316
499	316	316
500	317	315
501	317	315
502	318	314
503	319	314
504	319	313
505	320	312
506	321	312
507	321	311
508	322	311
509	323	310
510	323	309
511	324	309
512	325	308
513	326	308
